TP,584.000000,1104.000000,216.000000,584.000000,736.000000,735.000000,217.000000,736.000000,740.000000,579.000000,584.000000,580.000000,217.000000,736.000000,736.000000,579.000000,1098.000000,736.000000,584.000000,736.000000,581.000000,741.000000,580.000000,735.000000,741.000000,1098.000000,584.000000,583.000000,736.000000,741.000000,
TN,565.000000,173.000000,883.000000,565.000000,491.000000,491.000000,883.000000,491.000000,490.000000,568.000000,565.000000,567.000000,881.000000,491.000000,491.000000,569.000000,178.000000,491.000000,565.000000,491.000000,567.000000,488.000000,566.000000,491.000000,489.000000,178.000000,565.000000,565.000000,491.000000,487.000000,
FP,491.000000,883.000000,173.000000,491.000000,565.000000,565.000000,173.000000,565.000000,566.000000,488.000000,491.000000,489.000000,175.000000,565.000000,565.000000,487.000000,878.000000,565.000000,491.000000,565.000000,489.000000,568.000000,490.000000,565.000000,567.000000,878.000000,491.000000,491.000000,565.000000,569.000000,
FN,736.000000,216.000000,1104.000000,736.000000,584.000000,585.000000,1103.000000,584.000000,580.000000,741.000000,736.000000,740.000000,1103.000000,584.000000,584.000000,741.000000,222.000000,584.000000,736.000000,584.000000,739.000000,579.000000,740.000000,585.000000,579.000000,222.000000,736.000000,737.000000,584.000000,579.000000,
SP,0.535038,0.163826,0.836174,0.535038,0.464962,0.464962,0.836174,0.464962,0.464015,0.537879,0.535038,0.536932,0.834280,0.464962,0.464962,0.538826,0.168561,0.464962,0.535038,0.464962,0.536932,0.462121,0.535985,0.464962,0.463068,0.168561,0.535038,0.535038,0.464962,0.461174,
SN,0.442424,0.836364,0.163636,0.442424,0.557576,0.556818,0.164394,0.557576,0.560606,0.438636,0.442424,0.439394,0.164394,0.557576,0.557576,0.438636,0.831818,0.557576,0.442424,0.557576,0.440152,0.561364,0.439394,0.556818,0.561364,0.831818,0.442424,0.441667,0.557576,0.561364,
PRECISION,0.543256,0.555611,0.555270,0.543256,0.565719,0.565385,0.556410,0.565719,0.566616,0.542643,0.543256,0.542563,0.553571,0.565719,0.565719,0.543152,0.555668,0.565719,0.543256,0.565719,0.542991,0.566081,0.542056,0.565385,0.566514,0.555668,0.543256,0.542831,0.565719,0.565649,
RECALL,0.442424,0.836364,0.163636,0.442424,0.557576,0.556818,0.164394,0.557576,0.560606,0.438636,0.442424,0.439394,0.164394,0.557576,0.557576,0.438636,0.831818,0.557576,0.442424,0.557576,0.440152,0.561364,0.439394,0.556818,0.561364,0.831818,0.442424,0.441667,0.557576,0.561364,
F,0.487683,0.667675,0.252779,0.487683,0.561618,0.561069,0.253801,0.561618,0.563595,0.485128,0.487683,0.485559,0.253505,0.561618,0.561618,0.485331,0.666262,0.561618,0.487683,0.561618,0.486192,0.563712,0.485356,0.561069,0.563927,0.666262,0.487683,0.487051,0.561618,0.563498,
ACCURACY,0.483586,0.537458,0.462542,0.483586,0.516414,0.515993,0.462963,0.516414,0.517677,0.482744,0.483586,0.482744,0.462121,0.516414,0.516414,0.483165,0.537037,0.516414,0.483586,0.516414,0.483165,0.517256,0.482323,0.515993,0.517677,0.537037,0.483586,0.483165,0.516414,0.516835,
